Store Code,City,District,Region,Latitude,Longitude,,,,,,,,,,,,,
2002,Jeddah,Al-Mohammadiyyah,Jeddah,21.66181594,39.13156505,,,,,,,,,,,,,
2003,Jeddah,Al-Naeem,Jeddah,21.63290432,39.14344203,,,,,,,,,,,,,
2004,Jeddah,Muraikh,Jeddah,21.55634054,39.29166682,,,,,,,,,,,,,
2005,Jeddah,Al-Zahra,Jeddah,21.58827989,39.14357847,,,,,,,,,,,,,
2006,Jeddah,Taiba,Jeddah,21.80725398,39.14863375,,,,,,,,,,,,,
2007,Jeddah,Taiba,Jeddah,21.79703381,39.13750951,,,,,,,,,,,,,
2008,Jeddah,Al-Hamdaniya,Jeddah,21.76194558,39.19857584,,,,,,,,,,,,,
2009,Khamis Meshiet,Al-Darb,Khamis Meshiet,18.30578006,42.72970198,,,,,,,,,,,,,
2010,Makkah,Al-Nuzha,Makkah,21.43413919,39.79347155,,,,,,,,,,,,,
2011,Taif,Al-Wesam,Taif,21.22132678,40.37181096,,,,,,,,,,,,,
2012,Makkah,Al-Khadraa,Makkah,21.47983103,39.93646763,,,,,,,,,,,,,
2013,Taif,Al-Hawiyah,Taif ,21.44919904,40.51056001,,,,,,,,,,,,,
2014,Taif,Al-Qutbiyyah,Taif,21.28416555,40.43242887,,,,,,,,,,,,,
2015,Al-Khobar,Al-Khuzama,Al-Khobar,26.20294842,50.1888889,,,,,,,,,,,,,
2016,Dammam,Al-Nazhaa,Dammam,26.41005809,50.11067428,,,,,,,,,,,,,
2017,Dammam,Al-Anoud,Dammam,26.44389133,50.08062817,,,,,,,,,,,,,
2018,Dammam,Al-Nada,Dammam,26.36588857,50.06944708,,,,,,,,,,,,,
2019,Al-Aqiq,Jefen,Al-Aqiq,20.27022176,41.65281493,,,,,,,,,,,,,
2020,Baljurashi,Al-Amer,Baljurashi,19.86601472,41.56810936,,,,,,,,,,,,,
2021,Jeddah,Al-Salhiya,Jeddah,21.76162619,39.22333096,,,,,,,,,,,,,
2022,Al-Mandaq,Musaylah,Al-Mandaq,20.14458984,41.29168643,,,,,,,,,,,,,
2023,Al-Baha,Al-Haweya,Al-Baha,20.01225374,41.46485775,,,,,,,,,,,,,
2024,Jeddah,Al-Samer,Jeddah,21.59585917,39.24883873,,,,,,,,,,,,,
2025,Jeddah,Al-Zahraa,Jeddah,21.59207582,39.14156395,,,,,,,,,,,,,
2026,Bisha,King Abdallah district,Bisha,19.97979851,42.59511257,,,,,,,,,,,,,
2027,Jeddah,Al-Sawari,Jeddah,21.79284725,39.09051128,,,,,,,,,,,,,
2028,Jeddah,Al-Naseem,Jeddah,21.52010544,39.22280355,,,,,,,,,,,,,
2029,Dammam,Al-Nur,Dammam,26.42039455,50.02197454,,,,,,,,,,,,,
2030,Al-Namas,Al-Sad,Al-Namas,19.09785509,42.13015609,,,,,,,,,,,,,
2031,Makkah,Wali Al-Ahed,Makkah,21.33534537,39.69243733,,,,,,,,,,,,,
2032,Makkah,Wali Al-Ahd,Makkah,21.33968605,39.69538373,,,,,,,,,,,,,
2033,Mahayel Asir,Al-Ganadrea,Mahayel Asir,18.53006508,42.05727448,,,,,,,,,,,,,
2034,Al-Makhwah,Al-Marwah,Al-Makhwah,19.78133778,41.43806108,,,,,,,,,,,,,
2035,Al-Qunfudhah,Al-Naimyyah,Al-Qunfudhah,19.12641219,41.08164978,,,,,,,,,,,,,
2036,Saihat,Al-Kawther,Saihat,26.47971379,50.05532331,,,,,,,,,,,,,
2037,Al-Khobar,Al-Khobar Al-Shamalia,Al-Khobar,26.29419824,50.21745074,,,,,,,,,,,,,
2038,Bariq,Asir,Bariq,18.93483412,41.93056131,,,,,,,,,,,,,
2039,Mahayel Asir,Al-Nuzha,Mahayel Asir,18.54382843,42.05593763,,,,,,,,,,,,,
2040,Riyadh,Al-Munsiyah,Riyadh,24.83346867,46.76730071,,,,,,,,,,,,,
2041,Riyadh,Al-Janadriyah,Riyadh,24.83921898,46.88069514,,,,,,,,,,,,,
2042,Al-Darb,Al-Darb,Jizan,17.74207962,42.28104929,,,,,,,,,,,,,
2043,Taif,Al-Wasiliyah,Taif,21.50924487,40.50138632,,,,,,,,,,,,,
2044,Al-Mubarraz,Al-fath,Al-Ahsa,25.43518022,49.57295897,,,,,,,,,,,,,
2045,Al-Hofuf,Al Muthallath,Al-Ahsa,25.35418264,49.59749167,,,,,,,,,,,,,
2046,Dammam,Al-Faisaliah,Dammam,26.38181311,50.07096444,,,,,,,,,,,,,
2047,Jeddah,Al-Hamadaniyyah,Jeddah,21.75495709,39.18569488,,,,,,,,,,,,,
2048,Jeddah,Al-Aziziyah,Jeddah,21.54891108,39.18505523,,,,,,,,,,,,,
2049,Riyadh,Towaik,Riyadh,24.56277624,46.52880442,,,,,,,,,,,,,
2050,Al-Hofuf,Almubarakiyah,Al-Ahsa,25.36442705,49.61463222,,,,,,,,,,,,,
2051,Madina,Qoubaa,Madina,24.44004514,39.61231913,,,,,,,,,,,,,
2052,Jeddah,Al-Riyadh,Jeddah,21.84659829,39.19460958,,,,,,,,,,,,,
2053,Riyadh,Al-Khalideyyah,Riyadh,24.61919909,46.757507,,,,,,,,,,,,,
2054,Madina,AL-Mekat,Madina,24.42642695,39.54874662,,,,,,,,,,,,,
2055,Jeddah,Al-Baghdadiyah Al-Gharbiyah,Jeddah,21.50796202,39.17970373,,,,,,,,,,,,,
2056,Jeddah,Al-Bawadi,Jeddah,21.59801752,39.16183821,,,,,,,,,,,,,
2057,Samtah,Al-Rawdah,Jizan,16.60435934,42.93635121,,,,,,,,,,,,,
2058,Abu Areesh,Al-Zohor,Jizan,16.9766522,42.8339325,,,,,,,,,,,,,
2059,Al-Ardah,Al-Rawaby,Jizan,17.0355243,43.0791293,,,,,,,,,,,,,
2060,Bisha,King Abdallah district,Bisha,19.97831634,42.59510102,,,,,,,,,,,,,
2061,Bisha,Al-Rawshan,Bisha,20.00310388,42.59231949,,,,,,,,,,,,,
2062,Dammam,Al-Muhammadiyah,Dammam,26.45961114,50.06113849,,,,,,,,,,,,,
2063,Al-Majarda,Al-Adalah,Al-Majarda,19.10909829,41.9261296,,,,,,,,,,,,,
2064,Najran,University District,Najran,17.6440383,44.4733717,,,,,,,,,,,,,
2065,Khamis Meshiet,Al-Azizea,Khamis Meshiet,18.30769354,42.75310507,,,,,,,,,,,,,
2066,Ahad Rofida,Aseer,Ahad Rofida,18.18786171,42.82502345,,,,,,,,,,,,,
2067,Al-Qunfudhah,Al-Azhar,Al-Qunfudhah,19.11836603,41.08540529,,,,,,,,,,,,,
2068,Taif,Al-Wasit,Taif,21.47339583,40.46828975,,,,,,,,,,,,,
2069,Taif,Al-Naseem,Taif,21.26327893,40.45966863,,,,,,,,,,,,,
2070,Unayzah,Al-Zolfi,Unayzah,26.09323835,44.00669123,,,,,,,,,,,,,
2071,Unayzah,Al-Fakhriyyah,Unayzah,26.06494036,43.97415489,,,,,,,,,,,,,
2072,Al-Rass,Al-Hazm,Al-Qassim,25.87494737,43.52365619,,,,,,,,,,,,,
2073,Buraydah,Sultanah,Buraydah,26.37497888,43.90093463,,,,,,,,,,,,,
2074,Al-Rass,Al-hazm,Al-Qassim,25.86615269,43.51628101,,,,,,,,,,,,,
2075,Buraydah,El-Nahdah,Buraydah,26.40573813,43.93498206,,,,,,,,,,,,,
2076,Buraydah,Al-Nakheel,Buraydah,26.36175907,43.90615496,,,,,,,,,,,,,
2077,Hail,Al-Khuzama,Hail,27.57706846,41.73143719,,,,,,,,,,,,,
2078,Hail,Al-Noqra,Hail,27.57706919,41.73143642,,,,,,,,,,,,,
2079,Hail,Al-Wadi,Hail,27.42001916,41.58580802,,,,,,,,,,,,,
2080,Tabuk,Al Rayan,Tabuk,28.45503957,36.55217697,,,,,,,,,,,,,
2081,Tabuk,Almuruj Alawal,Tabuk,28.41870431,36.57332492,,,,,,,,,,,,,
2082,Arar,Al Dahiya,Arar,30.92547869,41.09605892,,,,,,,,,,,,,
2083,Arar,Almabarakiya,Arar,30.95651101,41.00490773,,,,,,,,,,,,,
2084,Arar,Badnah,Arar,30.98926832,41.00836327,,,,,,,,,,,,,
2085,Dammam,AL-Forsan,Dammam,26.36745628,49.96436381,,,,,,,,,,,,,
2086,Al-Qatif,Al Majidiyah,Al-Qatif,26.53840116,50.02515554,,,,,,,,,,,,,
2087,Tabuk,Muruj Al Ameer,Tabuk,28.42396787,36.56931562,,,,,,,,,,,,,
2088,Madina,Teiba,Madina,24.48314317,39.53725037,,,,,,,,,,,,,
